southern_cross,flinders_street,qv_melbourne
857,1248,2624
900,764,2210
1001,942,2321
897,736,2094
824,723,2069
634,702,2118
1034,925,2242
937,965,2213
989,1041,2095
1066,1042,2101
1003,1001,2335
1017,887,1959
899,991,2053
1040,1282,2078
959,1042,1824
1067,1060,2103
978,860,1894
955,1210,2140
920,743,1923
1072,1118,2592
992,954,2614
979,991,2647
1123,976,2418
948,977,2335
1256,920,2406
897,941,2417
989,907,2740
991,807,2563
987,890,2464
876,882,2331
940,731,2586
897,701,2563
789,690,2311
846,819,2279
818,694,2036
733,590,1846
899,818,2041
907,939,2088
986,984,2375
784,854,2380
1032,728,2637
893,689,2452
816,752,2621
1068,841,2748
754,809,2082
915,905,2188
861,728,2105
963,1031,3071
915,921,2646
1047,1037,2950
1084,1090,2954
1248,793,2296
1015,795,2310
656,800,2350
1120,1028,2272
1078,963,2258
1099,802,2337
983,858,2290
1195,926,2291
1128,1103,2435
798,937,2392
874,1040,2231
992,1272,2259
1037,1131,2019
954,1055,1835
973,940,2222
709,716,1773
1005,746,2044
1000,920,2361
1033,914,2556
1072,948,2939
881,932,2674
1099,1062,2809
1001,1040,2791
936,910,2626
1131,1017,3122
1181,1216,3098
899,936,2410
934,879,2283
936,876,2601
1017,857,2620
973,867,2680
494,712,1956
668,682,1919
845,804,2269
688,801,1898
789,692,1931
803,835,2058
805,874,2135
1076,838,2620
962,670,2439
838,740,2251
995,880,2479
788,658,2236
803,751,1831
876,748,2340
932,782,2235
